amountRaised,campaignTitle,currencyType,endDate,goal,numberContributors,story,url
145,Kennedy Brown Leukemia Fund,U.S. Dollar,,of $5k goal,3,"Kennedy was diagnosed with AML-APL Leukemia on October 1, at 23
  years old. She has been hospitalized since September 30 and will
  remain there for at least a month. During this time Kennedy has of
  course not been able to work, her long time boyfriend Danny and her
  parents, Jackie and Bob, have been spending as much time as possible
  by her side during this time. The goal of this fundraiser is to ensure Kennedy can focus on her
  treatment and well-being rather than worry about her finances.",https://fundrazr.com/KennedyBrown
455,Help our friends get intensive therapy for PTSD,U.S. Dollar,,of $550 goal,10,"I'm fundraising for intensive PTSD therapy for an anonymous
    friend, someone that a lot of you know and love. This therapy helped
    me majorly in one month of weekly appointments, events that had been
    reoccurring in my head for years have stopped. So I want to all of
    my friends who have PTSD, so many of us live in the shadow of our
    trauma every day. I found a very experienced therapist who's focus is primarily
    on EMDR therapy for PTSD. EMDR therapy is based on the understanding
    that PTSD symptoms are caused by dysfunctionally stored memories. While there are a lot of ways that people can get talk therapy
    for free, the barriers of finding therapists who can provide
    specialized help through the welfare systems we have are very real
    and do prevent easy access to this specific kind of care. Many
    people with PTSD put in the effort of getting into therapy that
    doesn't end up being what they need, and the weight of trying out
    and searching for therapists quickly becomes too much for people
    dealing with this mental illness.  If 20 people pitch $25 we can
    fast track a pathway to provide a community member with lasting
    mental health relief. I'd like to do this for each of my friends who have PTSD that
    want it. When we reach the goal of $550 I will start a new campaign
    over again. Let's heal our community!",https://fundrazr.com/b1tWU0
330,Please Help Kevin pay for his recovery,U.S. Dollar,,of $5k goal,8,"Hello Everyone My name is Kevin Zimmerman I recently had my left leg amputated below
  the knee.  It was the best choice based on the medical issue I was
  having.  So while I recover I need a little help with general life
  expenses Rent, Phone stuff like that.  I appreciate everyone who
  pitches in to help. My estimated Recovery time is 3 months.  As you
  can see in the picture I am typing from the hospital. The next step is
  a skilled Nursing Facility where I will get my new Prostetic leg and
  learn how to use it.  Looking at around 3 months.  Thank you for
  listening and to anyone who donates you are really helping",https://fundrazr.com/01teC9
"33,259",Please help the Powell Family cover medical and utility costs.,U.S. Dollar,,of $60k goal,296,"Thank you all so much for your help over the past two years. I wish I
  could report that we are out of the water and things are going well,
  but we continue to survive largely thanks to your generosity. Managing
  my medical needs and my son’s takes everything we have and more, and
  while I continue to try to find a job that I can do with my personal
  limitations and family needs, this has been beyond challenging. We remain extremely thankful for each of you, and will keep you
  updated as things progress.",https://fundrazr.com/PowellFam
"1,935",Help a mom to fight against kidney diseases and help her family to reunite again,U.S. Dollar,,of $3k goal,24,"Hello everyone, my name is Md.Shofiqul Islam Faysal. We are from
    Bangladesh and we are middle class family. We were happy with our
    life until my beloved mother is in serious condition since April
    10th 2021. Her both kidney are damaged so she is getting
    hemodialysis 2 times in a week. In October 11th 2021 we had to
    admitted her to the ICU. My mother needs to stay at least two weeks
    more in the ICU for further observation. The main problem for us is financial problem. Our family income is
    less than 1000 USD per month and I'm with my mother taking care of
    her and can't get a job at the moment. Covic-19 ruined all of our
    savings that we had. So because of that we cannot keep up the ICU
    cost for my mother because in the current hospital ICU cost per day
    including medicine is around 550 USD. As a result we cannot keep up
    my mother's medical bills anymore. If we can raise  some fund for my
    mother then i believe my mother's life can be save. So far we have managed around 850 USD. If we can get at least 3000
    USD then it would be more than enough that will help us to complete
    my mother's treatment and save her. You can donate $20 or $30 which will help us to provide my
    mother's one week hemodialysis cost inside ICU and put back the
    loving smile of my mother that we have lost. My mother always wanted
    to see the sea but she never had a chance to see. This is my last
    chance to fulfill my mother's wish so if we can completed her
    current treatment we can make her wish comes true. My mother never
    asked anything from me ever but she wanted to be there with me. If i
    failed to do this i wouldn’t be able to find peace in my life. But
    you guys can make that happen. If you donate us to save my mother we will make sure you will see
    the daily medical progress of my mother as we will share everything
    including pictures, copy of the medical bills and medical test
    report. Also our family will pray to Almighty God for you as long as
    we alive. It doesn’t matter whether you believe in God or not. Even
    If you cannot make the donation then please at least pray for my mother.",https://fundrazr.com/91ttz6
710,Help Me Find My Happiness and Regain Even Ground,U.S. Dollar,,of $3.5k goal,17,"As some of you may know and many may not, I have been having an
  exceptionally tough time with my mental health as of late.  Over the
  course of the last few years I have lost myself and no longer know
  what or where my happiness lies.  I have been taking the medical steps
  necessary to start making some changes such as adjusting medications
  through seeing a psychiatrist, quit drinking (with a few stumbles) to
  avoid the depression that comes with alcohol abuse, regularly
  journaling and overall trying whatever I can within my power to start
  my healing.  In addition, I was let go from my current employer and my
  last date of employment is set for October 15th, 2021.  This change
  brings about a new set of challenges as I am quite concerned about my
  financial situation and the ability to maintain my bills while I plan
  out what my future looks like. I have been working since I was 14, with the exception of some time I
  took to take care of my late father.  Now is the time for me to
  reclaim my autonomy and find my true happiness and in order to do
  that, I am asking for your help.  My immediate plan is to finish out
  strong at my current employer with my head held high.  I then would
  like to take a couple weeks to get my home in order before setting out
  on a cross country trip to visit loved ones and spend some much needed
  time finding out who I am, what makes me happy and where I feel at
  home.  I know many of us are having a hard time right now emotionally,
  physically and financially.  Even if you cannot donate anything at
  this time, your kind words and support during this time are beyond
  appreciated!  While on my trip, I will be posting updates on my
  snapchat and Facebook.  If you would like to donate through a
  different platform, please feel free to reach out to me directly. 
  Thank you to all of you for your continued support and love.",https://fundrazr.com/c1tQBd
"22,920",Help me support my brother & raise funds to support him on his road to recovery,New Zealand Dollar,,of $45k goal,82,"Hi everyone, I am Antonin (19), the younger brother of
            Alexandre (25), who fell from a 6 m height on the 23rd of
            July in a small town, Esperance, in Western Australia. The
            fall knocked him unconscious, which he remained for most of
            that day. Unfortunately it was assessed that he had a
            fractured spine and concussion along with a small internal
            bleed on the front left part of his brain. He was then urgently flown to Perth, where he underwent
            spinal surgery the next day. They kept him in the hospital
            care for another 6 days while he was unable to move without
            intense pain, nausea and dizziness. Because of the current travel restrictions, neither
            myself, my parents, or other family members are able to
            enter Australia to be with him. This has been a very big emotional strain for all of us
            as well, not to be able to reach him. Hopefully our mother can find a way to go and see him if
            Australia reopens its borders before their current estimation. Gratefully we have had friends able to provide presence
            and assistance, and he is now staying not far out of the
            city, in a town called Toodyay, where he can begin to heal
            in a calm environment surrounded by nature. He still however requires significant further care and
            tests for his brain trauma which we are looking to set up as
            soon as possible. He also needs ongoing physio and regular medical
            assessment of his spine for the next 3 months at least,
            while wearing a neck and upper body brace at all times. To make matters worse, Alexandre had unfortunately not
            yet renewed his traveling health insurance, and is now faced
            with having to cover the high cost of his medical care and
            expenses, which are presumed to go for several months. Our family does not have the means to cover this, so I
            am looking for ways to help raise what is needed . With adequate care, Alexandre will be back on his feet
            and smiling as you see him in the photo above within 6
            months to a year. At the moment the doctors diagnosis is that he is not
            going to be able to do more than careful exercise and rest
            for the next 3 months, with no long periods of standing or
            sitting for another 6 months to a year. Of course we are all looking forward to his full
            recovery, and for his benefit I hope it will take the least
            amount of time possible. His care is currently mounting by the thousands, and the
            urgently required tests to further clarify the extent of his
            brain injury are pending funds. The hospital bills are estimated at 35.000 dollars +,
            and it is likely going to be another 10.000 + for the
            further tests, assessment of his brain injury, and ongoing
            medical care for the next 6 months. This leaves Alexandre feeling very anxious and trapped
            and I want to help him and my family as much as possible. So I am asking you to help in any way you can. Please donate, if you can, and know that any amount can help. Please share as well this page with friends and family. Really anything, would be much appreciated. :-) Thank you, Antonin.",https://fundrazr.com/helpalexandre
200,Help Wanda Heal from Breast Cancer,U.S. Dollar,,of $60k goal,1,"My wife, Wanda Hebron is seeking IPT cancer treatment. Insulin potentiation therapy involves administering
    insulin at the same time as chemotherapy drugs , with the
  idea that lower chemotherapy doses are then needed because insulin
  lets more of the drug enter cells. Most insurance programs don't cover
  IPT because it's considered an alternative treatment. The costs associated with IPT are $5,500 for 5 daily treatments
  per week. Our goal is to raise $60,000 to cover the costs associated
  with this treatment which can take several months. We'd like your help to make this goal a reality. 600 people
  could make this possible with a donation of $100 each but we realize
  that is a lot of money. Any donation amount is valued and appreciated.
  Please share our campaign and ""Help Wanda Heal"".",https://fundrazr.com/help_wanda_heal
471,"Housing for Hunter: Not Looking for Riches, Just These Rags Are Killing Me",U.S. Dollar,,of $8.5k goal,12,"There is a man in Mexico that doesn’t belong there. He’s supposed to
  be here in the US, where he has served, but can’t. Poverty has both
  exiled and fenced him out. There are not enough resources to get him here. In Mexico, he has no home and the few resources he does have are used
  to keep himself off the streets and out of danger. This is complicated
  by medical challenges of a few sorts. Some
  have included self-surgery . Every day
  is a struggle to safely and effectively accomplish even the smallest
  of meaningful tasks to make sure he has what he needs to: Survive the day Wake up tomorrow Survive tomorrow Repeat At each of these 4 steps, is a 7-layer gordita of pain and agony
  digested physically, mentally, and emotionally. To start to walk the path of self-sustainability and recovery, Hunter
  must have consistent and reliable housing, healthcare, and structure.
  Recently he has reached out the internet to gain support for this endeavor. So far, he has gathered a small but relatively keen audience. An even
  smaller percentage of that audience have begun to chip in either
  financially or picking up tasks that need to be done; or both. His contributors have started rolling the ball towards what looks to
  become an impactful movement. They and he need your help to keep
  rolling that ball towards good health and a safe home. Home, in the United States. It's been years. He misses it dearly.",https://fundrazr.com/housingforhunter
,Help Christina get back to what she loves,,,,,"After being sick for quite a lengthy time, I was finally tested and
  diagnosed with Lyme Disease in February.  It is Late Stage/Chronic at
  this point, and has affected the Central Nervous System, as well as
  caused some arthritis.  The symptoms are too numerous to list, and
  often mimic other diseases, leaving doctors to test for everything
  under the sun but Lyme.  There is no cure, and at best, I am hoping to
  get into remission.  I am currently under the care of a specialist,
  that I travel to Washington DC to see every 3 months. Insurance does
  not cover treatment, so as you can imagine, it is quite expensive.  At
  this point, I'm working to pay for my health care. I came across mention of this device in one of my support groups. 
  Many people have found it helpful to incorporate into their
  treatment.  There is no guarantee that it would necessarily do
  anything for me, but I am willing to try anything at this point. 
  Sadly, I don't have any extra money laying around at this point.  If
  you are unable to donate, please share.  Thank you and God Bless!",https://app.cocopay.co/f1seE4
